19935,177798
118883,8217
93430,173255
79669,193826
142438,74238
151526,126319
200247,5173
112542,25965
58002,210969
21825,175461
3591,193566
184634,75257
142535,40302
123072,33850
119528,111462
183636,132069
203043,57145
200732,63728
218090,97439
98734,35177
174257,111398
151428,176772
173781,181588
197445,215201
76213,93902
70367,80051
13669,180583
54276,14333
47673,14784
184819,100556
133351,52443
87181,77445
233002,80368
142789,175956
14477,8760
11176,46108
13569,119292
228804,134657
22128,74822
107891,72975
149606,221163
129916,69568
232886,164716
82266,3511
73519,213517
170564,33935
157191,143425
161008,108606
155679,36556
51341,117318
147811,141646
80222,193130
9717,89645
131085,95293
113342,153487
63174,143514
103321,129355
35429,231500
66834,156500
148681,159750
81396,230993
108021,116918
216231,24320
143139,210008
12780,99402
204146,94091
8910,16148
67643,149239
87790,162497
118826,232665
18451,178439
101738,86086
222180,201479
186667,184930
66717,179401
9684,22997
129751,112268
9933,114177
183232,84456
114695,84364
68091,109991
227153,162871
150741,3253
98860,158033
176777,150722
227071,90517
166903,182854
78651,134185
186837,196419
110419,65786
155126,125981
38962,219832
70527,188816
37529,51260
30543,199446
95645,90511
1441,97560
34792,65097
89415,128122
215603,56746
234044,156724
10531,9284
158245,155238
148491,195256
46266,216270
157514,154573
221192,216091
87489,53474
141448,70607
97195,25880
21633,54459
109771,109249
119668,213851
55359,214054
6161,119650
37694,81328
25726,188160
203572,185345
161493,206797
184589,67451
213921,208762
13402,115463
5643,10644
17845,158297
151238,153292
196183,135705
212680,167044
68615,183074
171786,223248
47511,96338
228287,106931
45317,181732
21922,64365
143601,140139
38427,181320
51734,203254
120853,54604
156070,196352
210481,175884
79244,70631
22410,126628
199307,43861
55110,72000
225292,55238
50145,124454
210580,209430
47519,15077
175847,148954
176435,77471
232262,203762
103242,126896
68109,12540
18007,167645
180734,163689
164800,194849
147400,32323
189835,4699
182902,134426
2274,177318
43203,212380
94308,194147
3856,219644
214734,44316
108491,168766
217276,207125
72780,173106
160335,74100
67336,167202
155167,201833
93215,29205
14333,195354
220168,231296
28848,187976
75238,204074
221138,31404
121959,186832
7266,221202
104525,150824
18466,154930
62922,214910
200727,187898
151189,173700
233958,93351
150147,62791
136292,119464
205377,205036
120911,113128
64727,133753
112715,222866
113486,126411
123043,233864
107860,188145
88019,102737
97530,172620
208201,233332
30139,89775
77965,36582
24260,205520
3628,233498
135004,114442
68095,42828
121946,214833
21316,27204
224754,155365
221579,171026
223051,153156
209639,200772
204293,189022
49469,184397
204606,202517
150338,152463
171554,94221
90333,8268
48779,131625
189946,30430
145878,65424
131739,45567
228606,160086
97395,41417
43864,68519
38320,227529
233563,170952
119546,141406
124537,192574
121187,129825
102225,12835
176133,13119
132740,157711
70011,63171
106175,28618
230948,94971
162949,17197
78491,139458
85864,141321
18054,60650
67410,117575
4684,200822
12394,39010
128305,171995
226865,78792
31809,203809
79022,9754
36570,103326
118910,193296
98569,63488
168698,11800
169387,46012
176999,11131
103488,150495
82516,25883
12801,66580
172215,62991
92838,4749
226544,197914
19562,11966
122643,173026
168563,142399
47992,125296
150235,56224
204810,23249
41592,182660
92320,214793
70201,23773
142763,15090
94707,137770
13770,110114
121711,172230
178388,168538
117220,213145
13374,154701
38226,24961
162547,208734
12280,92239
206834,116256
152608,20546
165622,62854
16891,16331
225686,32855
190123,215207
9023,87548
82189,104180
112091,212757
225640,126128
50724,138607
54888,184155
33321,223543
133770,17171
220794,72754
228778,25599
129808,179128
33760,184023
35984,24625
14076,81813
191086,158618
221768,188323
220895,103023
141292,47702
225093,177442
154171,36949
225556,168265
77730,22685
65127,223962
173708,140879
220452,59662
104967,168343
110366,199317
191150,146531
54386,68902
81985,83047
230235,126560
53834,121196
38175,18067
203751,91562
82991,105384
210155,143871
216489,175533
62948,179246
189099,64279
215947,50734
69233,202463
89042,215787
105218,157686
48133,225686
230958,204319
206862,168339
213644,153455
129774,191027
93269,189913
7159,26123
79950,149213
93729,22309
132471,3725
119153,187535
219383,67735
98654,197417
44757,125275
183943,156442
53650,42598
93699,58569
193965,155775
71158,18534
166993,122164
200945,84242
129221,175286
72830,233113
186863,218006
177926,177691
7848,190618
72658,36133
137989,174637
137461,66153
63767,228511
47873,174833
79475,105198
42105,121229
196389,197028
42332,123488
126747,190249
165214,124626
168369,171231
84846,23816
166693,76691
107305,193370
219520,76964
65951,171657
195476,113009
174953,125412
44391,59180
151099,47802
149707,109675
222660,42836
227411,211699
135574,227398
171690,233243
3050,141778
147179,191501
30738,139271
119200,44362
207120,7453
124373,122766
37590,54788
191596,18734
152457,104095
233029,179879
228460,186587
145496,211120
170499,67120
76213,52956
187772,30646
92425,184209
107210,77183
4983,90902
229186,184497
45103,122957
118835,85615
13971,215785
164549,133205
85940,153196
56616,95635
117820,189076
145738,114662
137015,95912
63694,219194
196526,43041
30222,125272
