d
99106 75123
60543 62517 3327 0
58580 58586 368 0
58586 58651 15 0
58651 58657 597 0
58657 87745 1269 0
9202 54608 8125 0
41786 1357 443 0
4486 4789 410 0
4789 46710 2108 0
46710 4993 39 0
12109 8953 52 1
28514 12362 719 0
12362 12516 118 0
12516 13598 837 0
4486 47542 229 0
47542 4750 132 0
4750 4789 111 0
1525 12851 169 1
12109 1805 32 0
1805 10703 3032 0
10703 10706 280 0
10706 10709 849 0
10709 10711 226 0
10711 10713 227 0
10713 47398 1032 0
47398 47400 260 0
47400 69456 932 0
4993 12109 8140 0
1507 1525 40 1
1525 1531 52 1
1531 1511 38 1
44235 32613 2673 0
32613 55873 1443 0
80304 83729 3658 0
86416 96976 80 0
83041 79878 1903 0
79878 74472 1360 0
74472 74471 179 0
74471 44264 841 0
741 800 69 0
44262 44261 205 0
44245 72838 2277 0
86473 86745 175 0
86416 44263 53 0
30476 40688 548 0
40688 7314 2459 0
7314 30497 43 0
30497 83749 521 0
725 61063 526 0
896 1065 226 0
702 741 81 1
741 710 64 1
710 48963 67 1
48963 61070 85 1
10100 10099 115 0
75144 18171 74 0
75144 18170 75 0
94732 94733 48 1
94733 94734 56 1
94734 94736 51 1
94678 9835 12949 0
94972 98690 7218 0
15749 88125 105 0
88872 21338 194 0
21338 21341 145 0
21341 21348 131 0
21348 58516 123 0
15750 88125 110 0
14219 14254 244 0
12101 12117 79 1
89886 89913 457 0
9612 7287 48 0
88490 89379 606 0
12081 96824 61 0
96824 12158 208 0
12101 50818 113 1
50818 64937 27 1
11088 11840 820 0
8627 10287 129 0
13472 13848 339 0
12049 90187 409 0
11329 11678 338 0
13186 13571 950 0
10124 87421 34 0
12484 14464 32 0
14464 60291 557 0
10455 10407 184 0
11678 11679 108 0
12350 12484 114 0
12359 12357 80 0
13267 13290 151 0
63764 54220 57 0
54220 92345 346 0
11120 33341 64 0
33341 64918 71 0
64918 33342 71 0
33342 64930 71 0
64930 11476 49 0
9717 9960 511 0
88282 96186 170 0
96186 96191 112 0
96191 89013 149 0
10101 10178 144 0
10243 10280 116 0
11861 90142 320 0
11088 11348 286 0
10692 10862 141 0
10278 10377 501 0
12395 12484 278 0
12201 25609 217 0
25609 12209 38 0
11417 11420 282 0
12329 90192 208 0
90192 12350 34 0
12350 14450 22 0
14450 90197 240 0
90197 12388 62 0
47693 28326 12 0
11012 11863 676 0
12593 12789 100 0
12789 90220 99 0
90220 12965 30 0
12965 90222 119 0
90222 13290 202 0
89595 89913 284 0
89913 94506 256 0
94506 92348 12 0
12789 52253 144 0
13848 13874 24 0
10178 10280 208 0
13436 14335 130 0
14335 13438 121 0
13508 13795 296 0
89013 96196 21 0
96196 89381 469 0
11064 11507 409 0
13639 13856 274 0
14194 14291 108 0
64932 47600 174 1
47600 89350 197 1
89350 12101 28 1
60291 26236 36 0
26236 14493 122 0
14493 14365 171 0
14365 14013 160 0
14007 14012 102 0
12411 16547 148 0
16547 87631 136 0
87631 87632 30 0
87632 16553 156 0
16553 13442 186 0
10190 59814 19 0
59814 10191 21 0
13508 13569 270 0
13428 13436 72 0
14093 14219 174 0
88079 88907 491 0
11629 50800 217 0
50800 50806 90 0
50806 50809 144 0
50809 50835 261 0
50835 12294 17 0
12358 16545 165 0
16545 64997 139 0
64997 87636 14 0
87636 88156 64 0
88156 39372 285 0
39372 13439 36 0
11417 85932 299 0
9036 11632 811 0
89238 89051 106 1
58517 21370 131 0
21370 21372 138 0
21372 21373 141 0
21373 54326 174 0
54326 22610 26 0
11974 12059 114 0
12059 12050 52 0
9820 11926 277 0
59 86672 61 0
86672 52327 707 0
52327 52328 235 0
52328 43454 1900 0
88079 88490 298 0
11348 11393 194 0
87918 96175 236 0
96175 21080 117 0
21080 88282 513 0
14014 14526 148 0
14526 14016 143 0
10091 10278 291 0
14089 14093 258 0
14239 14254 56 0
10519 10570 234 0
9717 9719 338 0
88490 96185 162 0
96185 96190 158 0
96190 88872 66 0
13423 14334 146 0
14334 13428 143 0
89992 90001 372 0
64935 64933 35 1
64933 11476 609 1
13631 14506 134 0
14506 14006 211 0
14006 14012 561 0
88780 88842 61 0
98282 86793 470 0
86793 87364 482 0
87364 11931 242 0
11931 59 410 0
12201 12294 399 0
89400 89992 478 0
89990 31446 339 1
31446 89238 221 1
91327 91665 294 0
88780 96189 105 0
96189 88869 174 0
55901 81423 2233 0
58638 43454 1758 0
12357 12358 536 0
9976 10190 297 0
26585 37124 337 1
90224 90292 356 0
12491 14473 150 0
14473 87630 136 0
87630 16555 174 0
16555 13569 183 0
90399 93200 16 0
93200 86631 621 0
86631 53941 563 0
53941 54278 17 0
54278 90472 4 0
97627 19758 114 0
19758 31179 183 0
31179 27864 142 0
27864 27865 151 0
27865 98726 1138 0
12294 50836 158 0
50836 12329 169 0
10196 10243 147 0
10328 10348 35 0
11632 31005 1193 0
31005 9409 39 0
9409 13418 635 0
12259 47669 15 0
10258 72642 150 0
93217 93211 4 0
93211 96202 20 0
96202 93219 264 0
97284 97522 391 1
88997 92261 183 0
92261 89599 235 0
10428 10486 293 0
13423 26237 37 0
26237 87635 120 0
87635 87634 72 0
87634 87633 98 0
87633 14014 156 0
10428 10692 652 0
10572 10781 303 0
9820 10072 318 0
88997 89040 14 0
11396 11572 177 0
88928 89579 446 0
10210 47727 235 0
14068 14177 164 0
10278 10472 340 0
11840 11974 294 0
12809 13186 358 0
89400 89579 424 0
10572 11021 441 0
13442 13472 86 0
12197 12259 325 1
89040 89359 405 0
89359 89464 42 0
89579 72469 20 0
72469 89599 58 0
12404 12491 255 0
11792 11861 332 0
11393 11417 323 0
10348 10369 45 0
97516 97514 92 0
97514 97517 65 0
89381 89400 55 0
13439 16556 203 0
16556 13472 86 0
10183 10210 362 0
11300 11329 180 0
12158 12259 115 0
11476 11507 326 0
10224 8629 34 0
13438 13439 77 0
10178 10243 116 0
10287 10377 87 0
9719 9960 279 0
10570 7457 490 0
7457 11348 261 0
10000 10182 268 0
10182 10190 384 0
10287 10392 149 0
9726 59806 277 0
9960 10001 323 0
10001 10262 367 0
11678 60287 311 0
60287 11792 26 0
11393 11924 417 0
11924 14445 310 0
14445 12158 31 0
9976 10000 392 0
12122 12197 153 0
12197 14446 9 0
11455 11572 158 0
11507 50830 714 0
50830 12201 24 0
10072 12328 53 0
12177 50832 88 0
50832 64939 5 0
64939 12209 32 0
11396 11455 46 0
12090 12260 364 0
12260 14448 140 0
14448 14452 79 0
14452 14294 274 0
14294 13186 208 0
10072 10091 199 0
89990 83875 226 0
11679 50808 274 0
50808 50819 237 0
50819 12329 222 0
47694 10107 200 0
12294 12359 108 0
13508 13338 333 0
13186 14316 52 0
14316 13384 304 0
12809 13571 615 0
10428 10519 400 0
11507 50797 183 0
50797 60297 220 0
60297 11629 3 0
89807 94073 517 0
94073 90224 290 0
89502 92341 52 0
13639 13769 266 0
91327 91678 537 0
60291 26235 163 0
26235 60292 21 0
60292 13484 25 0
13484 14339 76 0
14339 13631 486 0
9976 59806 20 0
59806 9981 17 0
89990 31451 34 0
31451 96206 401 0
96206 89992 407 0
89599 96201 76 0
96201 89807 268 0
87420 8553 254 0
8553 9792 169 0
10280 10572 1008 0
11021 11632 619 0
10377 97515 152 0
88869 96195 191 0
96195 31428 34 0
31428 89013 98 0
9960 59813 227 0
59813 10258 166 0
12090 12809 738 0
90001 31450 57 0
31450 90002 60 0
12593 52253 174 0
98282 28484 489 0
28484 98726 796 0
88928 88997 67 0
10570 11417 677 0
13769 13795 163 0
10094 10183 690 0
11629 11679 304 0
13769 67773 222 0
67773 13856 324 0
11420 11423 43 0
13795 13874 822 0
11974 12090 135 0
12395 14459 33 0
14459 14329 575 0
14329 13423 33 0
12359 14455 36 0
14455 14472 205 0
14472 39367 164 0
39367 14313 39 0
14313 39369 204 0
39369 13428 51 0
10094 10210 252 0
12357 14461 147 0
14461 39366 261 0
39366 65001 7 0
65001 39368 240 0
39368 39371 23 0
39371 13436 39 0
90150 74416 19 0
74416 12049 181 0
14219 14239 34 0
14068 52840 181 0
52840 14528 109 0
14528 14089 32 0
88842 88872 188 0
91004 43776 28 0
10262 10258 365 0
90314 93199 21 0
93199 90399 51 0
19721 47615 15 0
47615 13474 64 0
2372 91685 483 0
12359 12395 290 0
88778 88928 514 0
19728 13384 84 0
11572 11861 195 0
88282 88778 489 0
12049 54201 294 0
54201 62384 85 0
62384 12593 431 0
22610 89990 121 0
12209 12358 178 0
58505 88079 982 0
14177 14194 96 0
9632 9726 98 0
14007 14013 35 0
90292 90305 48 0
90305 90314 296 0
91655 91665 345 0
91665 91678 358 0
91678 91685 379 0
13428 14346 37 0
14346 14505 198 0
14505 79811 18 0
